spmin spmax rcmin rcmax Comment
1210 1210 240 320 TurnNoiseTailendofthestreamerstillinturndt
2000 2000 120 180 ShipNoiseFromaheaduB
2080 2080 1 320 ShipNoiseFromaheaduB
2120 2120 1 320 ShipNoiseFromabeamuB
2200 2200 1 320 ShipNoiseFromasternuBfading
2350 2350 1 320 ShipNoiseGone
3842 3842 1 320 ShipNoiseFromabeamuB
3985 3985 1 320 ShipNoiseFromabeamuB
4055 4055 1 320 ShipNoiseFromasternuB
4070 4070 1 320 ShipNoisenolongerobserved
4988 4988 1 60 CurrentnoiseNoisereachesB
5015 5015 1 60 CurrentnoiseNoisereachesBaveragewith
