spmin spmax rcmin rcmax Comment
3603 3603 1 320 BadshotEarlyfireofGuns
3732 3732 1 40 CurrentNoiseAffectingtracesuBrms
3751 3751 1 80 CurrentNoiseAffectingtracesuBrms
3802 3802 40 120 CurrentNoiseAffectingtracesuBrms
3832 3832 80 140 CurrentNoiseAffectingtracesuBrms
3842 3842 100 160 CurrentNoiseAffectingtracesuBrms
3857 3857 120 180 CurrentNoiseAffectingoftracesuBrms
3882 3882 160 220 CurrentNoiseAffectingoftracesuBrms
3904 3904 200 220 CurrentNoiseAffectingoftracesuBrms
